#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-02-12 13:00:51.881

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,3.879251280411141,3.879251680352273,0.001761518464483842,-0.009646061794463737,0.009805242372972573,0.001759622075938444
0.2,3.880059995676493,3.88006021586528,0.001307170456327802,-0.009307471261000773,0.009483585976812509,0.001819170609163719
0.4,3.880061788836738,3.880062011373189,0.001314120691619942,-0.009693162314866685,0.009849442038659225,0.001747602017211409
0.6,3.879629188930404,3.879629520659557,0.001604361352059531,-0.009617179399877154,0.009779502089548158,0.001774407368690803
0.8,3.879752468696442,3.87975276811048,0.001524239992308294,-0.009838907321396572,0.009982981588423917,0.001689918375479724
1,3.880050581585274,3.880050800785418,0.001304230953814669,-0.009967322891174593,0.01010056392823807,0.001635196028461738
1.2,3.880136653276485,3.880136843146159,0.001213854834217738,-0.009534975661437737,0.009699379105886382,0.001778255936444194
1.4,3.880198069014478,3.880198244366611,0.001166535493862058,-0.008959549492363533,0.00914221078635289,0.001818375911630437
1.6,3.879682535447346,3.879682855497309,0.001575876714472875,-0.00885112942653018,0.009033417841579794,0.001805587376834469
1.8,3.880089134530284,3.880089358078911,0.00131711059859409,-0.008981322374436624,0.009164079320291217,0.001821043161222378
2,3.880339728672918,3.880339861263068,0.001014392741051515,-0.00913017779269139,0.009310851766160158,0.001825325747710902
2.2,3.880035788013339,3.880036018221488,0.001336575737728007,-0.009142619439590268,0.009322855689014907,0.001824321238440916
2.4,3.879926405239095,3.879926655894034,0.001394649896775902,-0.00844099942339834,0.008610765029526613,0.001701412098200417
2.6,3.880301624017956,3.880301769839134,0.00106379665349222,-0.008713382621578057,0.008892732310211836,0.001776978117779381
2.8,3.880250967241367,3.880251124971751,0.001106376957791481,-0.008524536195434033,0.008697667518108805,0.001726760813864976
3,3.879909818506939,3.879910071763689,0.001401866520030506,-0.009003095256509596,0.009185543627545608,0.001821671632253876
3.2,3.879457942128072,3.879458313026582,0.001696400128215321,-0.008270371123070566,0.008427743592616589,0.001621056306723076
3.4,3.879167450170236,3.879167859122527,0.001781233204225119,-0.00942433387294396,0.009595973063125936,0.001806828735526316
3.6,3.878950477781974,3.878950906889028,0.001824547311460498,-0.008976878929115632,0.009160716072590414,0.001826024001654532
3.8,3.878943753431119,3.878944181669374,0.001822697762647455,-0.009477655216796702,0.009647517318951889,0.001802398960001129
4,3.879370973856766,3.879371354520195,0.001718566991900905,-0.009206605052212982,0.009385061628109929,0.001821484333171079
4.2,3.879042825534025,3.879043248331629,0.001811105539670477,-0.009494984653548304,0.009663046757147662,0.001794363134849197
4.4,3.878538050928269,3.878538482850308,0.001830424851498111,-0.009421223461219253,0.009591499199394083,0.001799279129472062
4.6,3.877983964416099,3.877984340558651,0.001708025773922485,-0.01003930670537538,0.01016773159524113,0.001610927269704142
4.8,3.878331389211336,3.878331811356245,0.001809541020320028,-0.009665168609344041,0.009822831355335286,0.001752863824805496
5,3.878792679681438,3.878793113933985,0.001835416604703035,-0.009745150625122691,0.009898438655312234,0.001735259953624624
5.2,3.879580773604086,3.879581113058773,0.001622925361387714,-0.01028325185350033,0.01038966276320099,0.001483180248835748
5.4,3.879933129589982,3.879933378137805,0.001388776771088314,-0.01040055880997555,0.01049674233077094,0.00141773622329598
5.6,3.879394284939791,3.879394662433307,0.001711401593779227,-0.01051964314457922,0.01060930130817172,0.00137636563393844
5.8,3.879394733229855,3.879395109795997,0.001709298189884278,-0.0100028704537428,0.01013563890227798,0.001635163185439047
6,3.879031169992495,3.879031593761256,0.001813181559332193,-0.01028103013083977,0.01038771256089462,0.001484921444568983
6.2,3.879613498778334,3.87961383629919,0.001618302771230736,-0.01015128152746541,0.01027223393050356,0.001571710301911177
6.4,3.879357973445069,3.879358356713241,0.00172443381949386,-0.01046543311166259,0.01055739541178802,0.00139043434442779
6.6,3.879773538329192,3.879773834167703,0.001515115814765388,-0.01059962516035782,0.01067419130141631,0.001259486561716792
6.8,3.879158036079012,3.87915844824273,0.00178821123026254,-0.01013795119150217,0.01025660918788452,0.00155562774201287
7,3.878974685445147,3.878975112999589,0.001821249245743143,-0.0103028030129127,0.01040618707886956,0.001463208665076072
7.2,3.879384870848545,3.879385250830613,0.001717031215921804,-0.009850460279231371,0.009996118451202506,0.00170024009415225
7.4,3.879869024111621,3.879869292697661,0.001443662156530504,-0.01006863344449406,0.01019622083858606,0.001607961426663064
7.6,3.879779366099946,3.879779661615431,0.001514289577929447,-0.009934441395798806,0.01007404547446514,0.001671306786629628
7.8,3.879477666890646,3.879478031409676,0.001681751953518764,-0.01023126354324388,0.01034314980476146,0.001517232412133409
8,3.879308661538631,3.879309051832469,0.001740156224467853,-0.01005663614212724,0.01018754948496675,0.001627953934701169
8.199999999999999,3.879257108181922,3.87925750816003,0.001761601231677241,-0.009814468372131128,0.009960307760066088,0.00169821707908035
8.4,3.879482598081287,3.879482958231389,0.001671644474720401,-0.009867345371451258,0.0100087633399735,0.001676555670445348
8.6,3.878646088832342,3.878646526267311,0.001842094926819821,-0.01003397457099021,0.01016438053228391,0.001622955918625561
8.800000000000001,3.878958547003041,3.87895897560934,0.001823484327014841,-0.00989889383323083,0.01003972197210793,0.001675684384262457
9,3.87932479998073,3.879325190312739,0.001740244915585703,-0.009756703582957639,0.009909402708435513,0.001732915817995459
9.199999999999999,3.87973543367422,3.879735742702838,0.001548515858144093,-0.009716712575068268,0.009872696460122734,0.001748036649283407
9.4,3.879548945009931,3.879549295689691,0.001649533693248948,-0.00941011484791658,0.009581100738242684,0.001802007187937111
9.6,3.879491563882459,3.879491925640493,0.001675373846151307,-0.009351905714211069,0.009525707323493152,0.001811341912881534
9.800000000000001,3.879048653304789,3.879049075179349,0.001809128726116549,-0.009599405618592662,0.009760429144038855,0.001765612880995566
10,3.878915062867359,3.878915493549217,0.001827883899007918,-0.009799805002571443,0.009946385948680619,0.001701298137214962
10.2,3.879309109828693,3.879309501326937,0.001742839151928327,-0.01002419899128391,0.01015449156750383,0.001621460322566183
10.4,3.878574810713074,3.878575247522281,0.001840759934302271,-0.009626510635051171,0.009789521163149418,0.00177904963309161
10.6,3.878958547003022,3.878958974760482,0.001821677771530552,-0.009439885931567598,0.009608889416929525,0.001794243413190262
10.8,3.879458390418144,3.879458754440849,0.001680602539250165,-0.009729154221967044,0.009882381498043538,0.001733499985018641
11,3.879339593552683,3.879339978980373,0.001729281035558795,-0.01003797367177902,0.01016939928291952,0.001629652214468107
11.2,3.878795369421791,3.878795803618699,0.001835299663206595,-0.009582964870905077,0.009745388562098372,0.001771830271014789
11.4,3.879592429145603,3.879592767675776,0.001620716248172958,-0.01034412705439848,0.01044280172074913,0.001432181294861408
11.6,3.879074654128157,3.879075074944359,0.001806864097697685,-0.009961990756789307,0.01009751094389891,0.00164877755437424
11.8,3.879023549061506,3.879023975568342,0.001819028045283582,-0.009327911109477376,0.009502879457439191,0.001815156278756761
12,3.879041928953907,3.879042353525154,0.001814900017496097,-0.009672278121857843,0.009831897246701679,0.001764437418311044
12.2,3.878510256944647,3.878510686658776,0.001825733843520761,-0.01059784778222946,0.01067115715203244,0.001248686248852374
12.4,3.87921362404626,3.879214027748637,0.001769773525421337,-0.01023348526590455,0.01034510840779421,0.001515601293722773
12.6,3.879422975503522,3.879423348283098,0.001700688824989616,-0.009824688296369144,0.00997063350104146,0.001699715355958031
12.8,3.879484839531578,3.879485200085647,0.001672582102854177,-0.01051253363206558,0.01060242592621463,0.00137770539505502
13,3.879820608785307,3.879820895726276,0.001492166843280474,-0.01087245270306934,0.01093470046894494,0.001165095088423695
13.2,3.880136204986425,3.880136395444711,0.001215734867795603,-0.01047209827964412,0.01055962857533879,0.001356802590869757
13.4,3.880014718380603,3.880014945101706,0.001326410742549015,-0.01047032090151578,0.01055625505999764,0.001344210218311893
13.6,3.879932233009852,3.879932483960857,0.001395474388591791,-0.01043610637254372,0.01052727178054738,0.001382438035669692
13.8,3.879934474460169,3.879934725131024,0.001394695718666234,-0.01026592241674824,0.01037288227833738,0.001485773769306714
14,3.879616188518693,3.879616522444497,0.00160966172325119,-0.01030058129025214,0.01040672704011076,0.001482562906012411
14.2,3.879513530095327,3.879513886539069,0.001663027243263766,-0.01013173036805285,0.01025233899753269,0.001567958758836048
14.4,3.87913651815622,3.87913693187558,0.001791577743715226,-0.01017438744313466,0.0102933540876105,0.00156044177395842
14.6,3.879955544092889,3.879955791897553,0.001386703036568881,-0.01048898337186426,0.01058215113372173,0.001401124705974575
14.8,3.880637841561741,3.880637979937503,0.001036327846177478,-0.009798471968975228,0.009947115163609414,0.001713197931157106
15,3.880711809421294,3.880711945211252,0.001026608899107242,-0.01011528962036499,0.01023486092995561,0.00155990196860997
15.2,3.880596598876307,3.880596730751447,0.001011687174334622,-0.009716712575067996,0.009871713430258127,0.001742476049378006
15.4,3.880436559325517,3.880436682809929,0.0009789534085454827,-0.009565191089620959,0.009729407849767295,0.0017800271138826
15.6,3.88044955973721,3.880449686762813,0.0009928926528700599,-0.009965989857578217,0.01010032123062624,0.001641808490808954
15.8,3.880423110623755,3.880423236660476,0.0009890168724811656,-0.01030902383636223,0.01041117097577967,0.001454822541837717
16,3.88063111721082,3.880631236005616,0.0009602084231571991,-0.009937107462991406,0.01007469267648024,0.00165931545960634
16.2,3.880495285323122,3.880495421751397,0.001028990336800084,-0.01007885336873279,0.01020789253635198,0.001617956984998318
16.4,3.880473319110311,3.880473427376526,0.0009166522163357683,-0.01006996647809058,0.01019598535814515,0.001598090283322617
16.6,3.880681773987395,3.880681909002205,0.001023670618218893,-0.009594517828739662,0.009756358826964287,0.001769679404436177
16.8,3.880574632663506,3.880574741617428,0.0009195708743955562,-0.008933777509501521,0.009115580651778119,0.001811471785537329
17,3.880413696532532,3.88041382670397,0.001005107399943608,-0.009256371639808896,0.009434151054941433,0.001822852213757289
17.2,3.880277864644864,3.880278018841177,0.001093915927070939,-0.009601627341253532,0.009763498681602928,0.001770496796202715
17.4,3.880465698179296,3.880465828135832,0.001004284098234853,-0.009746928003251238,0.009898278642410566,0.001724330183649429
17.6,3.880213310876456,3.880213487157783,0.001169624415316898,-0.009691384936738138,0.009846318011714473,0.001739838037226747
17.8,3.880127687475321,3.880127877227544,0.001213477964584906,-0.009324800697752648,0.009500575215548045,0.001819071569092276
18,3.879964061604004,3.879964316008528,0.001405049463713877,-0.009641174004610599,0.00980135569032064,0.001764748475281489
18.2,3.880114238773565,3.880114439342359,0.001247582695084166,-0.009386564587715116,0.009559505892368743,0.001810126555489499
18.4,3.880045202104563,3.880045422305485,0.001307203894282016,-0.009272368042964387,0.009450114042366923,0.001824238550616176
18.6,3.88035407395479,3.880354210690973,0.001030132318062243,-0.009228377934286391,0.009406193629685698,0.001820307474335368
18.8,3.880012028640249,3.880012258383628,0.001335221760661263,-0.009518979258282026,0.00968482912074339,0.001784642535187555
19,3.880075685828543,3.880075898845591,0.001285708939013141,-0.009518979258282004,0.009685163131281082,0.001786454242326937
19.2,3.880030408532652,3.880030628689265,0.001307069906705415,-0.01020593590491413,0.01031875793550987,0.001521721931378263
19.4,3.880185516892845,3.880185694055366,0.001172539990288002,-0.01060229122755055,0.01068086119532081,0.001293142142195116
19.6,3.880431628134862,3.880431766956962,0.001037970204818608,-0.01027703103005073,0.01038793884620986,0.001513904448760472
19.8,3.880339728672911,3.880339867627069,0.001038451510637849,-0.01024059477841829,0.01035090467396986,0.001507131763931174
20,3.880211966006281,3.880212144928433,0.001178352483089157,-0.009997538319357631,0.01012988244789263,0.001632098637063774
20.2,3.880279209515002,3.880279404747864,0.001230901565573249,-0.009734486356352245,0.009885664538608549,0.001722248166757354
20.4,3.880133066956009,3.880133260684647,0.001226127562186792,-0.009361681293917333,0.009534891373125765,0.0018091646825069
20.6,3.88052173443662,3.88052186584652,0.001009891541902807,-0.009045307987059574,0.009227530993964547,0.001824755233946741
20.8,3.880366626076406,3.88036677106375,0.001060759619136108,-0.009793584179122062,0.009943121268635372,0.001717955031205676
21,3.880394420060012,3.880394559899392,0.001041761280610137,-0.01001975554596258,0.01015480186289076,0.001650605850505543
21.2,3.880156378039044,3.880156564445302,0.001202735993911068,-0.01021526714008837,0.01032778408680347,0.001520342527284029
21.4,3.87998826926717,3.879988508159285,0.001361543329883551,-0.00948120997305325,0.009649033047799167,0.001791785758510603
21.6,3.879986476106907,3.879986724922251,0.001389533448345721,-0.009305693882872066,0.009481876761030661,0.00181935380551733
21.8,3.879970785954885,3.879971027579423,0.001369304680066871,-0.008384567667821228,0.008549658173464699,0.001672028680021782
22,3.880021891021536,3.880022114482894,0.001316842031426699,-0.009071524314453712,0.009252878502312581,0.001822966590707695
22.2,3.880019201281188,3.880019431164181,0.001335628677188235,-0.01003886236084333,0.01016860565180488,0.001619192206616919
22.4,3.879867679241435,3.879867959684224,0.001475182953083535,-0.00977403301970938,0.009924522368824313,0.001721749917649815
22.6,3.880199862174716,3.880200034294926,0.001155735590081493,-0.009928220572349496,0.01006744886444591,0.001668521173080042
22.8,3.880208827975872,3.880209001319657,0.001159837538435106,-0.01022015492994164,0.01033194238468631,0.00151573963742995
23,3.880111997323259,3.880112215247604,0.001300440240750197,-0.01036634428100347,0.01046326683531488,0.001420865621623439
23.2,3.880329866291636,3.880330000455414,0.001020393257744293,-0.01031968810513281,0.0104326074869043,0.001530795998362193
23.4,3.880159964359501,3.880160169796739,0.001262640682646132,-0.01065738994953125,0.01073322645135558,0.00127365204028154
23.6,3.879488425852041,3.87948879205713,0.001685639232675013,-0.01050320239689133,0.01060172278072568,0.001441965786452015
23.8,3.880042064074151,3.880042289169114,0.00132165002430454,-0.01039033888573718,0.0104889394793596,0.001434820281851812
24,3.880239311699833,3.880239477423499,0.001134062567050628,-0.009945550009101514,0.01008313360535287,0.001660005518022129
24.2,3.880059099096384,3.880059313231651,0.001289076439402109,-0.01032457589498581,0.0104278866266915,0.001464224056562095
24.4,3.880029511952523,3.880029735807618,0.001318002962218699,-0.0103583460794258,0.01045892316173053,0.001446976227115109
24.6,3.88000844231979,3.880008674534212,0.001342382479476919,-0.01064672568076079,0.01072386049262207,0.001283906594676521
24.8,3.880262174492824,3.880262336253536,0.001120424482275954,-0.01074625885595191,0.01081998336671427,0.001260936420622115
25,3.880393523479906,3.880393652676646,0.001001334696952555,-0.01078002904039194,0.01085347555569885,0.001260517959596534
25.2,3.880355418824965,3.880355545234437,0.0009904697721380344,-0.01086623187961988,0.01092758731499508,0.001156360352648332
