#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-03-27 19:52:17.370
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/1000

#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Math 1 (V)
-0.00464925,2.000285640027382,0.002000285640027382
-0.004647999999999999,1.989268463552934,0.001989268463552934
-0.00464675,1.974578894920338,0.001974578894920338
-0.004645499999999999,1.96356171844589,0.00196356171844589
-0.00464425,1.9488721498133,0.0019488721498133
-0.004643,1.941527365496996,0.001941527365496995
-0.00464175,1.930510189022553,0.001930510189022553
-0.0046405,1.919493012548101,0.001919493012548101
-0.004639249999999999,1.904803443915499,0.001904803443915499
-0.004638,1.893786267441057,0.001893786267441057
-0.004636749999999999,1.87909669880846,0.00187909669880846
-0.0046355,1.864407130175864,0.001864407130175864
-0.004634249999999999,1.849717561543267,0.001849717561543267
-0.004633,1.838700385068825,0.001838700385068824
-0.00463175,1.820338424278074,0.001820338424278074
-0.004630499999999999,1.812993639961769,0.001812993639961769
-0.00462925,1.798304071329179,0.001798304071329179
-0.004627999999999999,1.787286894854723,0.001787286894854723
-0.00462675,1.768924934063986,0.001768924934063986
-0.004625499999999999,1.761580149747688,0.001761580149747688
-0.00462425,1.746890581115091,0.001746890581115091
-0.004623,1.724856228166196,0.001724856228166196
-0.00462175,1.717511443849901,0.001717511443849901
-0.0046205,1.702821875217301,0.001702821875217301
-0.004619249999999999,1.688132306584698,0.001688132306584698
-0.004618,1.673442737952108,0.001673442737952108
-0.004616749999999999,1.655080777161359,0.001655080777161359
-0.0046155,1.647735992845064,0.001647735992845064
-0.004614249999999999,1.629374032054319,0.001629374032054319
-0.004613,1.614684463421722,0.001614684463421722
-0.00461175,1.599994894789125,0.001599994894789125
-0.0046105,1.581632933998388,0.001581632933998388
-0.00460925,1.570615757523932,0.001570615757523932
-0.004607999999999999,1.548581404575031,0.001548581404575031
-0.00460675,1.533891835942441,0.001533891835942441
-0.004605499999999999,1.522874659467994,0.001522874659467994
-0.00460425,1.508185090835397,0.001508185090835397
-0.004602999999999999,1.489823130044651,0.001489823130044651
-0.00460175,1.471461169253914,0.001471461169253914
-0.0046005,1.456771600621309,0.001456771600621309
-0.00459925,1.445754424146867,0.001445754424146867
-0.004598,1.423720071197967,0.001423720071197967
-0.004596749999999999,1.412702894723511,0.001412702894723511
-0.0045955,1.394340933932774,0.001394340933932774
-0.004594249999999999,1.375978973142028,0.001375978973142028
-0.004593,1.36496179666758,0.00136496179666758
-0.004591749999999999,1.346599835876835,0.001346599835876835
-0.0045905,1.331910267244245,0.001331910267244245
-0.00458925,1.309875914295343,0.001309875914295343
-0.004588,1.298858737820901,0.001298858737820901
-0.00458675,1.276824384872001,0.001276824384872001
-0.004585499999999999,1.258462424081249,0.001258462424081249
-0.00458425,1.243772855448659,0.001243772855448659
-0.004582999999999999,1.229083286816062,0.001229083286816062
-0.00458175,1.210721326025317,0.001210721326025317
-0.0045805,1.192359365234571,0.001192359365234571
-0.00457925,1.173997404443834,0.001173997404443834
-0.004578,1.159307835811229,0.001159307835811228
-0.004576749999999999,1.144618267178622,0.001144618267178622
-0.0045755,1.122583914229737,0.001122583914229737
-0.004574249999999999,1.107894345597132,0.001107894345597132
-0.004573,1.089532384806395,0.001089532384806395
-0.004571749999999999,1.074842816173798,0.001074842816173798
-0.0045705,1.049136071066754,0.001049136071066754
-0.00456925,1.038118894592307,0.001038118894592307
-0.004568,1.01975693380157,0.00101975693380157
-0.00456675,0.9940501886945173,0.0009940501886945173
-0.004565499999999999,0.9830330122200582,0.0009830330122200582
-0.00456425,0.9573262671130259,0.0009573262671130259
-0.004562999999999999,0.9426366984804228,0.0009426366984804226
-0.00456175,0.9279471298478328,0.0009279471298478328
-0.004560499999999999,0.9022403847407888,0.0009022403847407888
-0.00455925,0.887550816108199,0.000887550816108199
-0.004558,0.8691888553174466,0.0008691888553174467
-0.00455675,0.8544992866848566,0.0008544992866848567
-0.0045555,0.8324649337359552,0.0008324649337359552
-0.004554249999999999,0.8177753651033486,0.0008177753651033486
-0.004553,0.7957410121544638,0.0007957410121544638
-0.004551749999999999,0.7737066592055689,0.0007737066592055689
-0.0045505,0.7626894827311215,0.0007626894827311214
-0.004549249999999999,0.7406551297822267,0.0007406551297822267
-0.004548,0.7259655611496367,0.0007259655611496368
-0.00454675,0.7112759925170336,0.0007112759925170335
-0.0045455,0.6929140317262962,0.0006929140317262962
-0.00454425,0.670879678777393,0.000670879678777393
-0.004542999999999999,0.6488453258284899,0.0006488453258284898
-0.00454175,0.6304833650377525,0.0006304833650377525
-0.004540499999999999,0.6084490120888576,0.0006084490120888576
-0.00453925,0.5937594434562611,0.0005937594434562611
-0.004537999999999999,0.5790698748236645,0.0005790698748236644
-0.00453675,0.5533631297166322,0.0005533631297166322
-0.0045355,0.5350011689258748,0.0005350011689258748
-0.004534249999999999,0.5203116002932666,0.0005203116002932666
-0.004533,0.4946048551862343,0.0004946048551862343
-0.004531749999999999,0.4725705022373328,0.0004725705022373328
-0.0045305,0.4578809336047429,0.0004578809336047429
-0.004529249999999999,0.432174188497699,0.000432174188497699
-0.004528,0.4138122277069533,0.0004138122277069532
