#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-02-28 16:46:08.746
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.0005238749999999999,0.4578809336047429
-0.0005236249999999999,0.4505361492884447
-0.0005233750000000001,0.4505361492884447
-0.000523125,0.4505361492884447
-0.000522875,0.4468637571302955
-0.000522625,0.4468637571302955
-0.0005223749999999999,0.4505361492884447
-0.0005221249999999999,0.4431913649721464
-0.0005218749999999999,0.4431913649721464
-0.0005216250000000001,0.4431913649721464
-0.000521375,0.4431913649721464
-0.000521125,0.4395189728139972
-0.000520875,0.4431913649721464
-0.0005206249999999999,0.4358465806558481
-0.0005203749999999999,0.4321741884976973
-0.0005201250000000001,0.4285017963395515
-0.000519875,0.4285017963395498
-0.000519625,0.4248294041814007
-0.000519375,0.4285017963395498
-0.0005191249999999999,0.4248294041814007
-0.0005188749999999999,0.4211570120232515
-0.0005186249999999999,0.4211570120232515
-0.0005183750000000001,0.4211570120232515
-0.000518125,0.417484619865104
-0.000517875,0.4211570120232515
-0.000517625,0.4174846198651024
-0.0005173749999999999,0.4138122277069533
-0.0005171249999999999,0.4138122277069516
-0.0005168749999999999,0.4101398355488041
-0.000516625,0.4101398355488041
-0.000516375,0.406467443390655
-0.000516125,0.4027950512325058
-0.0005158749999999999,0.406467443390655
-0.0005156249999999999,0.4027950512325041
-0.0005153749999999999,0.3991226590743533
-0.0005151250000000001,0.3917778747580618
-0.000514875,0.3917778747580584
-0.000514625,0.3844330904417602
-0.000514375,0.3770883061254618
-0.0005141249999999999,0.3734159139673127
-0.0005138749999999999,0.3734159139673127
-0.0005136249999999999,0.3734159139673111
-0.0005133750000000001,0.3697435218091653
-0.000513125,0.3660711296510145
-0.000512875,0.3587263453347161
-0.000512625,0.3587263453347161
-0.0005123749999999999,0.3513815610184179
-0.0005121249999999999,0.3550539531765654
-0.0005118750000000001,0.3513815610184196
-0.000511625,0.3477091688602704
-0.000511375,0.3440367767021196
-0.000511125,0.3403643845439704
-0.0005108749999999999,0.3293472080695231
-0.0005106249999999999,0.3146576394369248
-0.0005103749999999999,0.3109852472787757
-0.0005101250000000001,0.3073128551206298
-0.000509875,0.303640462962479
-0.000509625,0.2962956786461808
-0.000509375,0.2889508943298825
-0.0005091249999999999,0.2816061100135842
-0.0005088749999999999,0.274261325697281
-0.0005086250000000001,0.2632441492228435
-0.000508375,0.2632441492228385
-0.000508125,0.2558993649065402
-0.000507875,0.2522269727483911
-0.0005076249999999999,0.2522269727483911
-0.0005073749999999999,0.2448821884320895
-0.0005071249999999999,0.2375374041157895
-0.0005068750000000001,0.2265202276413521
-0.000506625,0.2155030511668997
-0.000506375,0.2081582668506014
-0.000506125,0.197141090376154
-0.0005058749999999999,0.1897963060598557
-0.0005056249999999999,0.1787791295854049
-0.0005053750000000001,0.1714343452691133
-0.000505125,0.1640895609528151
-0.000504875,0.1530723844783643
-0.000504625,0.145727600162066
-0.0005043749999999999,0.1420552080039169
-0.0005041249999999999,0.1347104236876136
-0.0005038749999999999,0.1236932472131695
-0.0005036250000000001,0.1200208550550237
-0.000503375,0.1126760707387238
-0.000503125,0.1053312864224255
-0.000502875,0.09798650210612719
-0.0005026249999999999,0.09431410994797805
-0.0005023749999999999,0.07962454131537815
-0.0005021250000000001,0.07227975699908656
-0.000501875,0.06493497268278828
-0.000501625,0.05759018836648665
-0.000501375,0.05024540405018837
-0.0005011249999999999,0.0429006197338901
-0.0005008749999999999,0.03555583541758848
-0.0005006249999999999,0.02821105110128852
-0.0005003750000000001,0.01719387462685112
-0.000500125,0.009849090310547834
-0.000499875,-0.001168086163899587
-0.000499625,-0.004840478322048727
-0.0004993749999999999,-0.01218526263834701
-0.0004991249999999999,-0.01953004695464863
-0.0004988750000000001,-0.02687483127094023
-0.000498625,-0.03789200774538598
-0.000498375,-0.04156439990354013
-0.000498125,-0.05258157637798755
-0.0004978749999999999,-0.06359875285243496
-0.0004976249999999999,-0.06727114501058912
-0.0004973749999999999,-0.07828832148503487
-0.0004971250000000001,-0.08563310580132646
-0.000496875,-0.0929778901176281
-0.000496625,-0.1003226744339264
-0.000496375,-0.1076674587502247
-0.0004961249999999999,-0.1150122430665229
-0.0004958749999999999,-0.1223570273828246
-0.0004956250000000001,-0.1297018116991162
-0.000495375,-0.1370465960154144
-0.000495125,-0.1443913803317161
-0.000494875,-0.1517361646480143
-0.0004946249999999999,-0.1554085568061634
-0.0004943749999999999,-0.1664257332806126
-0.0004941249999999999,-0.170098125438765
-0.0004938750000000001,-0.1811153019132025
-0.000493625,-0.1884600862295024
-0.000493375,-0.195804870545804
-0.000493125,-0.2104944391784005
-0.0004928749999999999,-0.2178392234946989
-0.0004926249999999999,-0.2251840078110021
-0.0004923749999999999,-0.2362011842854479
-0.000492125,-0.2435459686017395
-0.000491875,-0.247218360759892
-0.000491625,-0.2582355372343394
-0.0004913749999999999,-0.2655803215506377
-0.0004911249999999999,-0.2729251058669359
-0.0004908749999999999,-0.2839422823413867
-0.0004906250000000001,-0.2912870666576783
-0.000490375,-0.2986318509739766
