#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-02-28 21:29:47.500
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: -1.27837 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00257985,0.6782244630936913,3.439847641445215
-0.00257922,0.6782244630936913,3.425287359817255
-0.00257859,0.6782244630936913,3.40708700778229
-0.00257796,0.670879678777393,3.399806866968298
-0.00257733,0.670879678777393,3.381606514933349
-0.0025767,0.670879678777393,3.370686303712374
-0.00257607,0.670879678777393,3.359766092491403
-0.00257544,0.670879678777393,3.345205810863432
-0.00257481,0.6672072866192439,3.334285599642457
-0.00257418,0.6672072866192439,3.319725318014497
-0.00257355,0.6672072866192439,3.308805106793515
-0.00257292,0.670879678777393,3.286964684351557
-0.00257229,0.670879678777393,3.268764332316607
-0.00257166,0.670879678777393,3.25420405068864
-0.00257103,0.6672072866192472,3.239643769060667
-0.0025704,0.6745520709355421,3.225083487432707
-0.00256977,0.6745520709355421,3.206883135397748
-0.00256914,0.6708796787773946,3.188682783362799
-0.00256851,0.670879678777393,3.174122501734824
-0.00256788,0.6745520709355405,3.16320229051384
-0.00256725,0.670879678777393,3.14500193847889
-0.00256662,0.6672072866192439,3.130441656850924
-0.00256599,0.670879678777393,3.112241304815961
-0.00256536,0.670879678777393,3.10132109359499
-0.00256473,0.6745520709355421,3.083120741560032
-0.0025641,0.6708796787773946,3.064920389525082
-0.00256347,0.670879678777393,3.05764024871109
-0.00256284,0.670879678777393,3.039439896676127
-0.00256221,0.670879678777393,3.028519685455157
-0.00256158,0.6672072866192439,3.006679263013207
-0.00256095,0.6672072866192439,2.992118981385232
-0.00256032,0.6672072866192439,2.973918629350282
-0.00255969,0.6635348944610947,2.959358347722315
-0.00255906,0.6635348944610947,2.937517925280375
-0.00255843,0.6635348944610947,2.922957643652399
-0.0025578,0.6635348944610947,2.912037432431424
-0.00255717,0.6672072866192439,2.890197009989474
-0.00255654,0.6672072866192439,2.875636728361507
-0.00255591,0.6672072866192422,2.868356587547515
-0.00255528,0.6635348944610947,2.850156235512565
-0.00255465,0.6635348944610947,2.835595953884599
-0.00255402,0.6598625023029473,2.813755531442658
-0.00255339,0.6635348944610947,2.791915109000699
-0.00255276,0.6598625023029456,2.780994897779724
-0.00255213,0.6635348944610947,2.766434616151757
-0.0025515,0.6635348944610947,2.75187433452379
-0.00255087,0.6635348944610947,2.730033912081832
-0.00255024,0.6635348944610947,2.711833560046882
-0.00254961,0.6635348944610947,2.697273278418915
-0.00254898,0.6635348944610947,2.682712996790955
-0.00254835,0.6598625023029456,2.668152715162982
-0.00254772,0.6598625023029456,2.649952363128024
-0.00254709,0.6598625023029456,2.631752011093074
-0.00254646,0.6561901101447964,2.606271518244124
-0.00254583,0.6561901101447981,2.591711236616152
-0.0025452,0.6598625023029456,2.580791025395182
-0.00254457,0.6561901101447964,2.566230743767215
-0.00254394,0.659862502302944,2.555310532546245
-0.00254331,0.6598625023029456,2.53347011010429
-0.00254268,0.6561901101447964,2.507989617255348
-0.00254205,0.6561901101447964,2.489789265220399
-0.00254142,0.6525177179866473,2.471588913185432
-0.00254079,0.6561901101447964,2.45338856115047
-0.00254016,0.6561901101447964,2.44610842033649
-0.00253953,0.6561901101447964,2.427908068301532
-0.0025389,0.6561901101447964,2.406067645859592
-0.00253827,0.6525177179866473,2.384227223417632
-0.00253764,0.6525177179866473,2.373307012196657
-0.00253701,0.6451729336703523,2.355106660161707
-0.00253638,0.6488453258284982,2.340546378533732
-0.00253575,0.6488453258284982,2.322346026498765
-0.00253512,0.6488453258284982,2.304145674463815
-0.00253449,0.645172933670349,2.282305252021865
-0.00253386,0.6415005415121999,2.267744970393892
-0.00253323,0.6415005415121999,2.253184688765932
-0.0025326,0.645172933670349,2.234984336730974
-0.00253197,0.6378281493540541,2.216783984696024
-0.00253134,0.6415005415121999,2.198583632661057
-0.00253071,0.6415005415122016,2.176743210219099
-0.00253008,0.645172933670349,2.158542858184149
-0.00252945,0.645172933670349,2.14034250614919
-0.00252882,0.6488453258284949,2.125782224521215
-0.00252819,0.6415005415121999,2.107581872486265
-0.00252756,0.6415005415121999,2.085741450044315
-0.00252693,0.6378281493540524,2.071181168416355
-0.0025263,0.6378281493540507,2.049340745974399
-0.00252567,0.6415005415121999,2.027500323532449
-0.00252504,0.6378281493540507,2.005659901090499
-0.00252441,0.6378281493540507,1.991099619462532
-0.00252378,0.6378281493540507,1.980179408241549
-0.00252315,0.6378281493540507,1.961979056206599
-0.00252252,0.6378281493540507,1.943778704171641
-0.00252189,0.6378281493540507,1.918298211322711
-0.00252126,0.6415005415121999,1.90009785928774
-0.00252063,0.6378281493540507,1.885537577659774
-0.00252,0.6341557571959016,1.870977296031807
-0.00251937,0.6304833650377525,1.856417014403841
-0.00251874,0.626810972879605,1.834576591961882
-0.00251811,0.6304833650377525,1.816376239926932
-0.00251748,0.6268109728796033,1.794535817484982
-0.00251685,0.6268109728796033,1.772695395043042
-0.00251622,0.6268109728796033,1.758135113415066
