#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-02-28 21:34:40.889
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: -1.27837 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.002579976,0.6892416395681387,3.45076785266619
-0.002579346,0.6892416395681387,3.43256750063124
-0.002578716,0.6855692474099896,3.414367148596273
-0.002578086,0.6929140317262862,3.403446937375292
-0.002577456,0.6892416395681387,3.388886655747332
-0.002576826,0.6855692474099896,3.374326374119365
-0.002576196,0.6818968552518421,3.367046233305385
-0.002575566,0.6818968552518404,3.352485951677415
-0.002574936,0.6855692474099896,3.337925670049449
-0.002574306,0.6818968552518421,3.319725318014499
-0.002573676,0.6855692474099896,3.305165036386524
-0.002573046,0.6855692474099896,3.290604754758549
-0.002572416,0.6855692474099896,3.272404402723599
-0.002571786,0.6855692474099896,3.25420405068864
-0.002571156,0.6855692474099896,3.243283839467657
-0.002570526,0.6855692474099896,3.225083487432707
-0.002569896,0.6855692474099896,3.21052320580474
-0.002569266,0.6855692474099896,3.19232285376979
-0.002568636,0.6818968552518404,3.177762572141815
-0.002568006,0.6855692474099879,3.166842360920835
-0.002567376,0.6818968552518404,3.155922149699865
-0.002566746,0.6782244630936913,3.137721797664907
-0.002566116,0.6818968552518404,3.119521445629942
-0.002565486,0.6818968552518404,3.104961164001982
-0.002564856,0.6782244630936913,3.086760811967024
-0.002564226,0.6818968552518387,3.072200530339063
-0.002563596,0.6782244630936913,3.05764024871109
-0.002562966,0.678224463093693,3.039439896676125
-0.002562336,0.6818968552518404,3.024879615048165
-0.002561706,0.6782244630936913,3.006679263013207
-0.002561076,0.6782244630936913,2.984838840571255
-0.002560446,0.6782244630936913,2.981198770164265
-0.002559816,0.6745520709355421,2.966638488536299
-0.002559186,0.6818968552518371,2.948438136501349
-0.002558556,0.6782244630936913,2.930237784466382
-0.002557926,0.6745520709355421,2.912037432431424
-0.002557296,0.6745520709355421,2.897477150803457
-0.002556666,0.6782244630936913,2.88291686917549
-0.002556036,0.6818968552518387,2.871996657954505
-0.002555406,0.6782244630936913,2.850156235512565
-0.002554776,0.6782244630936913,2.835595953884599
-0.002554146,0.6818968552518387,2.817395601849649
-0.002553516,0.6818968552518404,2.79555517940769
-0.002552886,0.670879678777393,2.788275038593707
-0.002552256,0.670879678777393,2.77371475696574
-0.002551626,0.670879678777393,2.755514404930782
-0.002550996,0.6708796787773913,2.740954123302806
-0.002550366,0.6672072866192439,2.719113700860865
-0.002549736,0.670879678777393,2.704553419232899
-0.002549106,0.6672072866192456,2.682712996790958
-0.002548476,0.670879678777393,2.668152715162982
-0.002547846,0.6672072866192439,2.646312292721032
-0.002547216,0.6672072866192439,2.628111940686082
-0.002546586,0.6635348944610947,2.617191729465099
-0.002545956,0.6635348944610947,2.598991377430132
-0.002545326,0.6635348944610947,2.580791025395182
-0.002544696,0.6672072866192439,2.569870814174207
-0.002544066,0.6672072866192439,2.551670462139257
-0.002543436,0.6635348944610947,2.53347011010429
-0.002542806,0.6635348944610947,2.515269758069332
-0.002542176,0.6635348944610947,2.497069406034382
-0.002541546,0.6635348944610947,2.478869053999415
-0.002540916,0.6672072866192422,2.464308772371442
-0.002540286,0.6635348944610947,2.449748490743482
-0.002539656,0.6598625023029456,2.435188209115515
-0.002539026,0.6598625023029456,2.413347786673575
-0.002538396,0.6598625023029456,2.395147434638607
-0.002537766,0.6561901101447964,2.376947082603649
-0.002537136,0.6635348944610914,2.355106660161709
-0.002536506,0.6598625023029456,2.344186448940724
-0.002535876,0.6598625023029456,2.322346026498767
-0.002535246,0.6598625023029456,2.307785744870807
-0.002534616,0.6561901101447964,2.289585392835848
-0.002533986,0.6561901101447964,2.26774497039389
-0.002533356,0.6561901101447964,2.24954461835894
-0.002532726,0.6561901101447964,2.234984336730974
-0.002532096,0.6561901101447964,2.220424055103014
-0.002531466,0.6561901101447964,2.198583632661057
-0.002530836,0.6525177179866473,2.184023351033082
-0.002530206,0.6525177179866473,2.165822998998132
-0.002529576,0.6488453258284982,2.151262717370166
-0.002528946,0.6415005415122033,2.133062365335197
-0.002528316,0.6488453258284982,2.111221942893257
-0.002527686,0.6488453258284982,2.093021590858299
-0.002527056,0.6451729336703507,2.082101379637328
-0.002526426,0.645172933670349,2.056620886788382
-0.002525796,0.645172933670349,2.038420534753424
-0.002525166,0.6488453258284982,2.020220182718465
-0.002524536,0.6525177179866473,2.002019830683507
-0.002523906,0.645172933670349,1.983819478648542
-0.002523276,0.645172933670349,1.969259197020582
-0.002522646,0.6415005415121999,1.947418774578632
-0.002522016,0.6415005415121999,1.929218422543682
-0.002521386,0.6415005415121999,1.907378000101724
-0.002520756,0.6488453258284982,1.892817718473757
-0.002520126,0.645172933670349,1.874617366438799
-0.002519496,0.6415005415121999,1.856417014403841
-0.002518866,0.6415005415121999,1.834576591961882
-0.002518236,0.6415005415121999,1.816376239926932
-0.002517606,0.6341557571959016,1.798175887891974
-0.002516976,0.6378281493540491,1.783615606264014
